District,Province,Physiographic_Region,Elevation_Range_m,Climate_Zone,Feasible_Crops,Feasible_Vegetables,Feasible_Fruits,Feasible_Spices_Cash_Crops,Reasoning_For_Feasibility
Sunsari,Koshi,Terai,65-300,Tropical (Lower),"Paddy, Maize, Wheat, Sugarcane, Lentil, Black Gram","Tomato, Cauliflower, Cabbage, Brinjal, Okra, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili","Mango, Banana, Litchi, Jackfruit, Papaya, Guava, Lemon","Ginger, Turmeric, Mustard, Sunflower",Eastern Terai with Koshi plain; alluvial soil; good market access via Dharan and Itahari; suitable for commercial vegetable and fruit farming.
Taplejung,Koshi,Hill/Mountain,1000-4000,Subtropical to Subalpine,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple, Walnut","Cardamom (Large - highest producer, 2490 MT), Ginger, Turmeric, Szechuan Pepper, Honey, Medicinal Herbs","Eastern high hills and mountains; highest cardamom producing district (2,490 MT from 4,150 ha); Kanchenjunga area; 1000-4000m; diverse climate zones from subtropical to subalpine; ideal for high-value spices and temperate crops."
Terhathum,Koshi,Hill,1000-2000,Subtropical to Mild Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon","Tea (Orthodox), Cardamom (Large), Ginger, Turmeric, Honey","Eastern mid-hills; tea producing district; subtropical to mild temperate; suitable for orthodox tea, cardamom and temperate fruits."
Udayapur,Koshi,Hill/Inner Terai,300-2000,Tropical to Mild Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Lentil","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot","Mango, Banana, Litchi, Jackfruit, Orange, Lemon, Mandarin, Peach, Plum","Ginger, Turmeric, Cardamom, Tea, Honey",Eastern inner Terai to hills; Gaighat area; 300-2000m; diverse topography; suitable for both tropical and temperate crops; tea production in higher areas.
Bara,Madhesh,Terai,100-250,Tropical (Lower),"Paddy, Maize, Wheat, Sugarcane, Lentil, Black Gram, Potato (high yield)","Tomato, Cauliflower, Cabbage, Brinjal, Okra, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato","Mango, Banana, Litchi, Jackfruit, Papaya, Guava","Ginger, Turmeric, Mustard, Sunflower, Potato","Central Terai; highest potato producing district (126,810 MT); Kalaiya region; extremely fertile; major vegetable and potato hub."
Dhanusa,Madhesh,Terai,100-200,Tropical (Lower),"Paddy, Maize, Wheat, Sugarcane, Lentil, Black Gram, Fish (Aquaculture)","Tomato, Cauliflower, Cabbage, Brinjal, Okra, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Pointed Gourd (Parwal)","Mango, Banana, Litchi, Jackfruit, Papaya, Guava, Lemon","Ginger, Turmeric, Mustard, Sunflower, Fish","Central Terai; Janakpur region; highest fish production district in Nepal (7,312 MT); numerous ponds and wetlands; excellent for aquaculture and tropical agriculture."
Mahottari,Madhesh,Terai,100-200,Tropical (Lower),"Paddy, Maize, Wheat, Sugarcane, Lentil, Black Gram","Tomato, Cauliflower, Cabbage, Brinjal, Okra, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili","Mango, Banana, Litchi, Jackfruit, Papaya, Guava","Ginger, Turmeric, Mustard, Sunflower","Central Terai plain; Jaleswar area; fertile alluvial soil; warm climate; suitable for all tropical cereals, vegetables and fruits."
Parsa,Madhesh,Terai,100-250,Tropical (Lower),"Paddy, Maize, Wheat, Sugarcane, Lentil, Black Gram","Tomato, Cauliflower, Cabbage, Brinjal, Okra, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili","Mango, Banana, Litchi, Jackfruit, Papaya, Guava","Ginger, Turmeric, Mustard, Sunflower",Central Terai; Birgunj industrial corridor; excellent market access to India; ideal for commercial vegetable and fruit production.
Rautahat,Madhesh,Terai,100-250,Tropical (Lower),"Paddy, Maize, Wheat, Sugarcane, Lentil, Black Gram","Tomato, Cauliflower, Cabbage, Brinjal, Okra, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili","Mango, Banana, Litchi, Jackfruit, Papaya, Guava","Ginger, Turmeric, Mustard, Sunflower",Central Terai; Gaur region; highly fertile; major sugarcane producing area; warm tropical climate.
Saptari,Madhesh,Terai,70-200,Tropical (Lower),"Paddy, Maize, Wheat, Sugarcane, Lentil, Black Gram, Jute","Tomato, Cauliflower, Cabbage, Brinjal, Okra, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili","Mango, Banana, Litchi, Jackfruit, Papaya, Guava","Ginger, Turmeric, Mustard, Sunflower, Jute",Eastern Madhesh plain; Saptari has significant jute cultivation; alluvial soil from Koshi basin; warm and humid climate.
Sarlahi,Madhesh,Terai,100-250,Tropical (Lower),"Paddy, Maize, Wheat, Sugarcane, Lentil, Black Gram","Tomato, Cauliflower, Cabbage, Brinjal, Okra, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili","Mango, Banana, Litchi, Jackfruit, Papaya, Guava","Ginger, Turmeric, Mustard, Sunflower",Central-southern Terai; flat fertile land; good for commercial sugarcane and vegetable production.
Siraha,Madhesh,Terai,75-200,Tropical (Lower),"Paddy, Maize, Wheat, Sugarcane, Lentil, Black Gram","Tomato, Cauliflower, Cabbage, Brinjal, Okra, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili","Mango, Banana, Litchi, Jackfruit, Papaya, Guava","Ginger, Turmeric, Mustard, Sunflower",Central-eastern Terai; flat terrain; fertile soil; good for cereal and pulse production; warm climate ideal for tropical fruits.
Bhaktapur,Bagmati,Hill/Valley,1300-2700,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple","Ginger, Turmeric, Cardamom, Honey",Kathmandu valley; 1300-2700m; subtropical to temperate; intensive vegetable cultivation; Jadibuti area known for medicinal herbs; excellent market access.
Chitwan,Bagmati,Terai/Inner Terai,200-800,Tropical to Subtropical,"Paddy, Maize, Wheat, Sugarcane, Lentil, Black Gram, Mustard","Tomato, Cauliflower, Cabbage, Brinjal, Okra, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Peas, Beans","Mango, Banana, Litchi, Jackfruit, Papaya, Guava, Lemon, Orange","Ginger, Turmeric, Mustard, Sunflower, Honey","Inner Terai valley; Narayani river basin; highly fertile; second highest rice producer (34,809 MT); excellent irrigation; major commercial vegetable and fruit area; accessible markets via Bharatpur."
Dhading,Bagmati,Hill,1000-2500,Subtropical to Temperate,"Paddy, Maize (highest producer, 17,973 MT), Wheat, Millet, Barley, Buckwheat, Soybean, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon","Coffee, Ginger, Turmeric, Cardamom, Honey","Central mid-hills; 1000-2500m; highest maize producer nationally; diverse topography; excellent for maize, hill cereals and vegetables."
Dolakha,Bagmati,Hill/Mountain,1000-3500,Subtropical to Subalpine,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple, Walnut","Ginger, Turmeric, Cardamom, Honey, Medicinal Herbs",Central high hills; Charikot area; 1000-3500m; Gaurishankar region; subtropical to subalpine; suitable for diverse hill and mountain crops.
Kathmandu,Bagmati,Hill/Valley,1300-2700,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple","Ginger, Turmeric, Cardamom, Honey",Capital valley; 1300-2700m; subtropical to temperate; largest urban market; intensive vegetable cultivation; suitable for all hill crops with excellent market access.
Kavrepalanchok,Bagmati,Hill,1000-2500,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple","Coffee (highest producer, 221 MT from 973 ha), Tea, Ginger, Turmeric, Cardamom, Honey","Central mid-hills; Dhulikhel area; 1000-2500m; highest coffee producing district; subtropical to temperate; excellent for coffee, tea, citrus and temperate fruits; proximity to Kathmandu market."
Lalitpur,Bagmati,Hill/Valley,1300-2700,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple","Coffee, Ginger, Turmeric, Cardamom, Tea, Honey",Kathmandu valley; 1300-2700m; subtropical to temperate; tea production in higher areas; intensive vegetable and fruit cultivation; excellent urban market.
Makwanpur,Bagmati,Inner Terai/Hill,300-1500,Tropical to Subtropical,"Paddy, Maize, Wheat, Millet, Lentil, Soybean","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Peas, Beans, Potato","Mango, Banana, Litchi, Jackfruit, Papaya, Guava, Lemon, Orange, Peach, Plum","Ginger, Turmeric, Cardamom, Tea, Coffee, Mustard, Sunflower, Honey",Transition zone between Terai and Hills; Hetauda valley; subtropical to warm temperate; good for diverse crops including coffee and tea; honey production significant.
Nuwakot,Bagmati,Hill,1000-2500,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon","Coffee, Ginger, Turmeric, Cardamom, Honey",Central mid-hills; 1000-2500m; subtropical to temperate; Trishuli basin; suitable for diverse hill crops and fruits.
Ramechhap,Bagmati,Hill,1000-2500,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple","Ginger, Turmeric, Cardamom, Tea, Honey",Central mid-hills; 1000-2500m; subtropical to temperate; tea producing district; suitable for diverse hill crops and fruits.
Rasuwa,Bagmati,Mountain,2000-4000,Temperate to Subalpine,"Maize, Wheat, Millet, Barley, Buckwheat, Amaranth, Potato","Cauliflower, Cabbage, Spinach, Radish, Onion, Garlic, Potato, Peas, Beans, Turnip, Cole Crops","Apple, Peach, Plum, Pear, Walnut","Coffee, Honey, Medicinal Herbs, Szechuan Pepper","High mountain district; Langtang Himal area; 2000-4000m; cold temperate to subalpine; suitable for apples, potatoes, buckwheat and high-altitude medicinal herbs."
Sindhuli,Bagmati,Hill/Inner Terai,300-2000,Tropical to Mild Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Lentil","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot","Mango, Banana, Litchi, Jackfruit, Orange, Lemon, Mandarin, Peach, Plum, Grapefruit","Ginger, Turmeric, Cardamom, Honey","Central hills; 300-2000m; highest grapefruit producer (4,900 MT from 400 ha); diverse climate; suitable for citrus, temperate fruits and hill crops."
Sindhupalchok,Bagmati,Hill/Mountain,1000-3500,Subtropical to Subalpine,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Cauliflower, Cabbage, Spinach, Radish, Onion, Garlic, Potato, Peas, Beans, Carrot, Turnip, Cole Crops","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple, Walnut","Tea (Orthodox), Coffee, Ginger, Turmeric, Cardamom, Honey, Medicinal Herbs","Central high hills; Langtang region; 1000-3500m; tea producing district; diverse agro-climate; suitable for tea, temperate fruits, and high-value mountain crops."
Baglung,Gandaki,Hill,800-2500,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple","Coffee, Ginger, Turmeric, Cardamom, Honey, Medicinal Herbs",Central mid-hills; 800-2500m; Kali Gandaki basin; subtropical to temperate; suitable for diverse hill crops and fruits.
Gorkha,Gandaki,Hill/Mountain,500-3500,Tropical to Subalpine,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip, Cole Crops","Mango, Banana, Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple, Walnut","Coffee, Ginger, Turmeric, Cardamom, Honey, Medicinal Herbs",Central hills to mountains; Manaslu region; 500-3500m; diverse agro-climate from tropical to subalpine; suitable for all hill and mountain crops.
Kaski,Gandaki,Hill,800-2500,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple, Strawberry","Tea (Orthodox), Ginger, Turmeric, Cardamom, Coffee, Honey, Medicinal Herbs","Central mid-hills; Pokhara valley; 800-2500m; Annapurna backdrop; subtropical to temperate; tea producing district; excellent for diverse hill crops, fruits and tourism-linked agriculture."
Lamjung,Gandaki,Hill,500-2500,Tropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Mango, Banana, Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple","Coffee, Ginger, Turmeric, Cardamom, Honey (35,000 hives - significant), Medicinal Herbs","Central mid-hills; Annapurna region; 500-2500m; Besisahar area; significant honey production (35,000 hives); diverse climate; suitable for all hill crops, fruits and high-value products."
Manang,Gandaki,Mountain,3000-5000,Subalpine to Alpine,"Barley, Buckwheat, Amaranth, Potato (limited)","Cabbage, Spinach, Radish, Onion, Garlic, Potato, Peas, Beans, Turnip, Cole Crops (limited)","Apple (limited), Seabuckthorn","Medicinal Herbs (Yarsagumba, Cordyceps), Szechuan Pepper, Honey (limited)","High mountain district; Annapurna circuit; 3000-5000m; subalpine to alpine; very cold; limited agriculture; famous for medicinal herbs (Yarsagumba), seabuckthorn and high-altitude buckwheat; yak and sheep pastoralism."
Mustang,Gandaki,Mountain,2500-4500,Temperate to Subalpine (Trans-Himalayan),"Barley, Buckwheat, Amaranth, Potato, Cold-tolerant Wheat","Cabbage, Spinach, Radish, Onion, Garlic, Potato, Peas, Beans, Turnip, Cole Crops","Apple (5,727 MT - second highest), Apricot, Seabuckthorn","Medicinal Herbs, Szechuan Pepper, Honey","High mountain district; Trans-Himalayan rainshadow; 2500-4500m; cold and dry; second highest apple producer; suitable for cold-tolerant crops, apples, apricots and high-value medicinal herbs; unique trans-Himalayan climate."
Myagdi,Gandaki,Hill,800-2500,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple","Coffee, Ginger, Turmeric, Cardamom, Honey, Medicinal Herbs",Central mid-hills; Beni area; 800-2500m; Kali Gandaki valley; subtropical to temperate; suitable for diverse hill crops.
Nawalparasi East,Gandaki,Hill,300-1500,Tropical to Subtropical,"Paddy, Maize, Wheat, Millet, Lentil, Black Gram, Barley, Buckwheat, Soybean, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Okra, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot","Mango, Banana, Litchi, Jackfruit, Orange, Lemon, Mandarin, Peach, Plum","Ginger, Turmeric, Cardamom, Honey",Eastern Nawalparasi; Gandaki province; 300-1500m; Narayani basin; tropical to subtropical; suitable for diverse crops from tropical to temperate.
Parbat,Gandaki,Hill,800-2500,Subtropical to Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Apple","Ginger, Turmeric, Cardamom, Coffee, Honey, Medicinal Herbs",Central mid-hills; Kusma area; 800-2500m; Kali Gandaki basin; subtropical to temperate; suitable for diverse hill crops and fruits.
Syangja,Gandaki,Hill,500-2000,Tropical to Mild Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange (highest producer, 1270 ha, Rs 356.6M), Lemon, Mandarin, Peach, Plum, Pear, Persimmon, Mango, Banana","Ginger, Turmeric, Cardamom, Coffee, Honey, Medicinal Herbs","Central mid-hills; 500-2000m; highest orange producing district (1270 ha); subtropical to mild temperate; excellent for citrus, coffee and diverse hill crops."
Tanahu,Gandaki,Hill,500-2000,Tropical to Mild Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Mango, Banana, Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon","Coffee, Ginger, Turmeric, Cardamom, Honey, Medicinal Herbs",Central mid-hills; Damauli area; 500-2000m; Seti Gandaki basin; subtropical to mild temperate; suitable for diverse hill crops and fruits.
Arghakhanchi,Lumbini,Hill,800-2000,Subtropical to Mild Temperate,"Paddy, Maize, Wheat, Millet, Barley, Buckwheat, Soybean, Amaranth, Potato","Tomato, Cauliflower, Cabbage, Brinjal, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato, Peas, Beans, Carrot, Turnip","Orange, Lemon, Mandarin, Peach, Plum, Pear, Persimmon","Ginger, Turmeric, Cardamom, Coffee, Honey, Medicinal Herbs",Western mid-hills; 800-2000m; subtropical to mild temperate; significant agricultural land; suitable for diverse hill crops; higher permanent crop area than neighboring districts.
Banke,Lumbini,Terai,100-300,Tropical (Lower/Upper),"Paddy, Maize, Wheat, Sugarcane, Lentil, Black Gram, Mustard, Sunflower","Tomato, Cauliflower, Cabbage, Brinjal, Okra, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato","Mango, Banana, Litchi, Jackfruit, Guava, Lemon","Ginger, Turmeric, Mustard, Sunflower",Mid-western Terai; Nepalgunj hub; Rapti and Babai river basins; fertile soil; significant cereal production; good market access.
Bardiya,Lumbini,Terai,100-300,Tropical (Lower/Upper),"Paddy, Maize, Wheat, Lentil, Black Gram, Mustard, Sunflower, Potato (high yield)","Tomato, Cauliflower, Cabbage, Brinjal, Okra, Cucumber, Pumpkin, Spinach, Radish, Onion, Garlic, Chili, Potato","Mango, Banana, Litchi, Jackfruit, Guava, Lemon","Ginger, Turmeric, Mustard, Sunflower, Potato",Western Terai; Bardia National Park area; highest wheat productivity (3475 kg/ha) and maize productivity (3225 kg/ha) in Province 5; 21% of provincial potato production; excellent soil quality and irrigation.
